Año,Nombre,Anfitrion,Equipo1,Marcador,Equipo2
1960,Copa Europea de Naciones,Francia,Unión Soviética,2-1 prorroga,Yugoslavia
1964,Copa Europea de Naciones,España,España,2-1,Unión Soviética
1968,Campeonato de Europa de Naciones,Italia,Italia,1-1 2-0 desempate,Yugoslavia
1972,Campeonato de Europa de Naciones,Bélgica,Alemania Federal,3-0,Unión Soviética
1976,Campeonato de Europa de Naciones,Yugoslavia,Checoslovaquia,2-2 5-3 penales,Alemania Federal
1980,Campeonato de Europa de Naciones,Italia,Alemania Federal,2-1,Bélgica
1984,Campeonato de Europa de Naciones,Francia,Francia,2-0,España
1988,Campeonato de Europa de Naciones,Alemania Federal,Países Bajos,2-0,Unión Soviética
1992,Eurocopa,Suecia,Dinamarca,2-0,Alemania
1996,Eurocopa,Inglaterra,Alemania,2-1 gol de oro,República Checa
2000,Eurocopa,Bélgica y Países Bajos,Francia,2-1 gol de oro,Italia
2004,Eurocopa,Portugal,Grecia,1-0,Portugal
2008,Eurocopa,Austria y Suiza,España,1-0,Alemania
2012,Eurocopa,Polonia y Ucrania,España,4-0,Italia
2016,Eurocopa,Francia,Portugal,1-0 prórroga,Francia
2020,Eurocopa,Europa,Italia,1-1 3-2 penales,Inglaterra
