Torneo,Fecha,Equipo1,Pais1,Marcador,Equipo2,Pais2,Estadio,Ciudad,Pais3
2023/24,01/06/2024,Borussia Dortmund,Alemania,0-2,Real Madrid,España,Wembley Stadium,Londres,Inglaterra
2022/23,10/06/2023,Manchester City,Inglaterra,1-0,Inter de Milan,Italia,Atatürk Olympic Stadium,Estambul,Turquía
2021/22,28/05/2022,Liverpool,Inglaterra,0-1,Real Madrid,España,Stade de France,Saint-Denis,Francia
2020/21,29/05/2021,Manchester City,Inglaterra,0-1,Chelsea,Inglaterra,Estádio do Dragão,Oporto,Portugal
2019/20,23/08/2020,Paris Saint-Germain,Francia,0-1,Bayern München,Alemania,Estádio do SL Benfica,Lisboa,Portugal
2018/19,01/06/2019,Tottenham,Inglaterra,0-2,Liverpool,Inglaterra,Estadio Metropolitano,Madrid,España
2017/18,26/05/2018,Real Madrid,España,3-1,Liverpool,Inglaterra,NSC Olimpiyskiy,Kiev,Ucrania
2016/17,03/06/2017,Juventus,Italia,1-4,Real Madrid,España,National Stadium of Wales,Cardiff,Gales
2015/16,28/05/2016,Real Madrid,España,1-1 (5-3 penales),Atlético de Madrid,España,Stadio San Siro,Milán,Italia
2014/15,06/06/2015,Juventus,Italia,1-3,Barcelona,España,Olympiastadion,Berlín,Alemania
2013/14,24/05/2014,Real Madrid,España,4-1 (prorroga),Atlético de Madrid,España,Estádio do SL Benfica,Lisboa,Portugal
2012/13,25/05/2013,Borussia Dortmund,Alemania,1-2,Bayern München,Alemania,Wembley Stadium,Londres,Inglaterra
2011/12,19/05/2012,Bayern München,Alemania,1-1 (3-4 penales),Chelsea,Inglaterra,Fussball Arena München,Múnich,Alemania
2010/11,28/05/2011,Barcelona,España,3-1,Manchester United,Inglaterra,Wembley Stadium,Londres,Inglaterra
2009/10,22/05/2010,Bayern München,Alemania,0-2,Inter de Milan,Italia,Estadio Santiago Bernabéu,Madrid,España
2008/09,27/05/2009,Barcelona,España,2-0,Manchester United,Inglaterra,Stadio Olimpico,Roma,Italia
2007/08,21/05/2008,Manchester United,Inglaterra,1-1 (6-5 penales),Chelsea,Inglaterra,Luzhniki Stadium,Moscú,Rusia
